customer_no,opt_in,last_name,first_name,email
282447,1,Smith,Jack,jack.smith@example.com
288379,1,Smith,Jack,jack.smith@example.com
309966,1,Smith,John,john.smith@example.com
312238,1,Smith,Jack,jack.smith@example.com
317481,1,Smith,Jack,jack.smith@example.com
321626,1,Smith,Jack,jack.smith@example.com
323997,1,Smith,Jack,jack.smith@example.com
346419,1,Smith,Jack,jack.smith@example.com
347741,1,Smith,Jack,jack.smith@example.com
352500,1,Smith,Jack,jack.smith@example.com
353465,1,Smith,Jack,jack.smith@example.com
356259,1,Smith,Jack,jack.smith@example.com
362103,1,Smith,Jack,jack.smith@example.com
363288,1,Smith,Jack,jack.smith@example.com
366872,1,Smith,Jack,jack.smith@example.com
373259,1,Smith,Jack,jack.smith@example.com
375965,1,Wilson,Joe,joe.wilson@example.com
376645,1,Smith,John,john.smith@example.com
387205,1,Williams,Jack,jack.williams@example.com
391847,1,Smith,Jack,jack.smith@example.com
418730,1,Smith,Jack,jack.smith@example.com
425191,1,Smith,Jack,jack.smith@example.com
442245,1,Smith,Jack,jack.smith@example.com
451267,1,Smith,Jack,jack.smith@example.com
460012,1,Smith,Jack,jack.smith@example.com
509147,1,Smith,Jack,jack.smith@example.com
531897,1,Smith,Jack,jack.smith@example.com
533233,1,Smith,Jack,jack.smith@example.com
547816,1,Smith,Jack,jack.smith@example.com
567624,1,Smith,Jack,jack.smith@example.com
583929,1,Brown,Lily,lily.brown@example.com
584678,1,Smith,Jack,jack.smith@example.com
587509,1,Smith,Jack,jack.smith@example.com
601574,1,Smith,Jack,jack.smith@example.com
616050,1,Smith,Jack,jack.smith@example.com
620742,1,Smith,Jack,jack.smith@example.com
646407,1,Smith,Jack,jack.smith@example.com
662757,1,Smith,Jack,jack.smith@example.com
676415,1,Smith,Jack,jack.smith@example.com
679317,1,Smith,Jack,jack.smith@example.com
725705,1,Smith,Jack,jack.smith@example.com
726080,1,Smith,Jack,jack.smith@example.com
726934,1,Smith,Jack,jack.smith@example.com
735274,1,Smith,Jack,jack.smith@example.com
743526,1,Smith,Jack,jack.smith@example.com
744857,1,Tremblay,Emily,emily.tremblay@example.com
754974,1,Smith,Jack,jack.smith@example.com
771116,1,Smith,Jack,jack.smith@example.com
778690,1,Smith,Jack,jack.smith@example.com
804924,0,Smith,Jack,jack.smith@example.com
811588,1,Smith,Jack,jack.smith@example.com
819402,1,Smith,Jack,jack.smith@example.com
825241,1,Smith,Jack,jack.smith@example.com
851428,1,Smith,Jack,jack.smith@example.com
852836,1,Smith,Jack,jack.smith@example.com
865579,1,Smith,Jack,jack.smith@example.com
885998,0,Smith,Jack,jack.smith@example.com
892369,1,Smith,Jack,jack.smith@example.com
936750,1,Smith,Jack,jack.smith@example.com
993953,1,Smith,Jack,jack.smith@example.com
999630,1,Smith,Jack,jack.smith@example.com
1042710,1,Smith,Jack,jack.smith@example.com
1220341,1,Smith,Jack,jack.smith@example.com
1233252,0,Smith,Jack,jack.smith@example.com
1245804,1,Smith,Jack,jack.smith@example.com
1266552,1,Smith,Jack,jack.smith@example.com
1284774,1,Smith,Jack,jack.smith@example.com
1286397,1,Evans,Jack,jack.evans@example.com
1291864,1,Lee,Megan,megan.lee@example.com
1305143,1,Smith,Jack,jack.smith@example.com
1307583,1,Smith,John,john.smith@example.com
1312772,1,Smith,Jack,jack.smith@example.com
1319190,1,Smith,John,john.smith@example.com
1322011,1,Smith,John,john.smith@example.com
1324488,1,O'Connor,Oliver,oliver.o'connor@example.com
1325465,1,Smith,Jack,jack.smith@example.com
1336697,1,Smith,Jack,jack.smith@example.com
1340358,1,Smith,Jack,jack.smith@example.com
1354175,1,Smith,Jack,jack.smith@example.com
1355299,1,Smith,Jack,jack.smith@example.com
1360245,1,Smith,Jack,jack.smith@example.com
1371336,1,Smith,John,john.smith@example.com
1372297,1,Smith,Jack,jack.smith@example.com
1373513,1,Smith,Jack,jack.smith@example.com
1377241,1,Smith,Jack,jack.smith@example.com
1378221,1,Smith,Isabella,isabella.smith@example.com
1379550,1,Smith,Jack,jack.smith@example.com
1381139,1,Smith,Jack,jack.smith@example.com
1383726,1,Smith,Jack,jack.smith@example.com
1393206,1,Smith,Jack,jack.smith@example.com
1393322,1,Smith,John,john.smith@example.com
1396497,1,Smith,Jack,jack.smith@example.com
1398249,1,Smith,Jack,jack.smith@example.com
1402296,1,Rodriguez,Ethan,ethan.rodriguez@example.com
1407433,1,Smith,Jack,jack.smith@example.com
1411098,1,Smith,Jack,jack.smith@example.com
1413101,1,Smith,Jack,jack.smith@example.com
1414166,1,Smith,Jack,jack.smith@example.com
1422130,1,Smith,Jack,jack.smith@example.com
1422870,1,Smith,Jack,jack.smith@example.com
1423128,1,Smith,Jack,jack.smith@example.com
1428588,1,Evans,Jack,jack.evans@example.com
1435940,1,Smith,Jack,jack.smith@example.com
1440392,1,Roberts,Jack,jack.roberts@example.com
1440628,0,Smith,Jack,jack.smith@example.com
1440894,1,Smith,Jack,jack.smith@example.com
1441219,1,Smith,Jack,jack.smith@example.com
1445446,1,Smith,Jack,jack.smith@example.com
1446670,1,Smith,Jack,jack.smith@example.com
1447894,1,Smith,Jack,jack.smith@example.com
1453102,1,Williams,Jack,jack.williams@example.com
1456313,1,Smith,Jack,jack.smith@example.com
1457087,1,Smith,John,john.smith@example.com
1457956,1,Smith,Jack,jack.smith@example.com
1458807,1,Smith,John,john.smith@example.com
1459728,1,Smith,Jack,jack.smith@example.com
1460478,1,Smith,Jack,jack.smith@example.com
1462136,1,Smith,Jack,jack.smith@example.com
1463365,1,Smith,Jack,jack.smith@example.com
1463987,1,Smith,Jack,jack.smith@example.com
1465208,0,Smith,Jack,jack.smith@example.com
1466192,1,Smith,Jack,jack.smith@example.com
1469264,1,Smith,Jack,jack.smith@example.com
1471567,1,Smith,Jack,jack.smith@example.com
1471826,1,Smith,Jack,jack.smith@example.com
1472159,1,Evans,Jack,jack.evans@example.com
1472887,1,Smith,Jack,jack.smith@example.com
1474296,1,Smith,Jack,jack.smith@example.com
1475417,1,Smith,John,john.smith@example.com
1479934,1,Smith,Jack,jack.smith@example.com
1481132,1,Smith,Jack,jack.smith@example.com
1484584,1,Smith,Jack,jack.smith@example.com
1484651,1,Smith,Jack,jack.smith@example.com
1494312,1,Smith,Jack,jack.smith@example.com
1494526,1,Smith,Jack,jack.smith@example.com
1494584,1,Smith,Jack,jack.smith@example.com
1498783,1,Smith,John,john.smith@example.com
1499541,1,Smith,Jack,jack.smith@example.com
1503900,1,Smith,Jack,jack.smith@example.com
1505073,1,Smith,Jack,jack.smith@example.com
1505980,1,Smith,Jack,jack.smith@example.com
1507629,1,Smith,Jack,jack.smith@example.com
1507984,1,Smith,Jack,jack.smith@example.com
1508178,1,Smith,Jack,jack.smith@example.com
1509529,1,Smith,Jack,jack.smith@example.com
1510883,1,Smith,Jack,jack.smith@example.com
1511242,1,Smith,Jack,jack.smith@example.com
1515565,1,Roberts,Jack,jack.roberts@example.com
1517618,1,Smith,Jack,jack.smith@example.com
1520121,1,Smith,Jack,jack.smith@example.com
1521149,1,Smith,Jack,jack.smith@example.com
1521354,1,Smith,Jack,jack.smith@example.com
1521394,1,Smith,Jack,jack.smith@example.com
1521909,1,Smith,Jack,jack.smith@example.com
1522983,1,Smith,Jack,jack.smith@example.com
1523001,1,Smith,Jack,jack.smith@example.com
1523106,1,Smith,Jack,jack.smith@example.com
1523226,1,Smith,Jack,jack.smith@example.com
1523354,1,Smith,Jack,jack.smith@example.com
1523430,1,Smith,Jack,jack.smith@example.com
1523511,1,Smith,Jack,jack.smith@example.com
1523572,1,Smith,Jack,jack.smith@example.com
1523775,1,Smith,Jack,jack.smith@example.com
1524948,1,Smith,Jack,jack.smith@example.com
1525387,1,Smith,Jack,jack.smith@example.com
1530614,1,Smith,Jack,jack.smith@example.com
1530660,1,Smith,Jack,jack.smith@example.com
1533251,1,Smith,Jack,jack.smith@example.com
1535443,1,Smith,Jack,jack.smith@example.com
1538763,1,Smith,Jack,jack.smith@example.com
1545938,1,Smith,Jack,jack.smith@example.com
1549538,1,Smith,Jack,jack.smith@example.com
1550779,1,Smith,John,john.smith@example.com
1550885,1,Smith,Jack,jack.smith@example.com
1551103,1,Smith,Jack,jack.smith@example.com
1552383,1,Smith,Jack,jack.smith@example.com
1552408,1,Smith,Jack,jack.smith@example.com
1552602,0,Smith,Jack,jack.smith@example.com
1552720,1,Smith,Jack,jack.smith@example.com
1554261,1,Smith,Jack,jack.smith@example.com
1557450,1,Smith,Jack,jack.smith@example.com
1558473,1,Smith,Jack,jack.smith@example.com
